date,premise_code,item_code,price,year,month,previous_price,next_price,Price_Increase,price_change,price_change_pct,item,state,district,premise_type
2025-01-02,4573,1476,18.0,2025,1,18.0,16.0,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Pulau Pinang,Seberang Perai Utara,Pasar Basah 
2025-01-03,2663,1559,5.39,2025,1,5.39,5.39,0,0.0,0.0,KANGKUNG,Negeri Sembilan,Port Dickson,Pasar Raya / Supermarket
2025-01-04,20940,1476,15.99,2025,1,15.99,15.99,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Johor,Kluang,Pasar Raya / Supermarket
2025-01-04,16383,1110,14.1,2025,1,14.1,14.1,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Semporna,Pasar Raya / Supermarket
2025-01-06,1728,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Perlis,Arau,Kedai Runcit
2025-01-06,16169,1131,3.0,2025,1,3.5,3.0,0,-0.5,-14.285714285714285,UBI KENTANG IMPORT (CHINA),W.P. Kuala Lumpur,Seputeh,Pasar Mini
2025-01-06,3318,1131,2.3,2025,1,2.3,2.3,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Selangor,Gombak,Hypermarket
2025-01-07,18141,1,8.9,2025,1,8.9,8.9,0,0.0,0.0,AYAM BERSIH - STANDARD,Johor,Batu Pahat,Pasar Mini
2025-01-12,2743,1476,8.0,2025,1,8.0,8.0,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Sabah,Pitas,Pasar Basah 
2025-01-13,15782,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kedah,Langkawi,Pasar Mini
2025-01-13,20970,114,6.0,2025,1,6.0,6.0,0,0.0,0.0,TOMATO,Perak,Hilir Perak,Kedai Runcit
2025-01-13,1739,1131,3.8,2025,1,3.8,3.8,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sarawak,Meradong,Pasar Mini
2025-01-13,20945,129,3.59,2025,1,4.49,4.29,1,-0.9000000000000004,-20.044543429844104,BAWANG BESAR KUNING/HOLLAND,Johor,Muar,Pasar Mini
2025-01-13,7262,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Johor,Pontian,Pasar Mini
2025-01-13,21205,129,4.89,2025,1,4.89,4.89,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Kelantan,Kota Bharu,Pasar Mini
2025-01-13,1736,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kelantan,Jeli,Kedai Runcit
2025-01-15,4573,1555,30.0,2025,1,33.0,30.0,0,-3.0,-9.090909090909092,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Pulau Pinang,Seberang Perai Utara,Pasar Basah 
2025-01-15,4573,129,6.0,2025,1,6.0,6.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Pulau Pinang,Seberang Perai Utara,Pasar Basah 
2025-01-16,21101,129,2.99,2025,1,2.99,2.48,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Kedah,Kulim,Pasar Raya / Supermarket
2025-01-18,15880,1131,3.9,2025,1,3.9,3.9,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Terengganu,Besut,Pasar Raya / Supermarket
2025-01-18,4573,1131,4.0,2025,1,4.0,4.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Pulau Pinang,Seberang Perai Utara,Pasar Basah 
2025-01-18,4573,114,10.0,2025,1,10.0,10.0,0,0.0,0.0,TOMATO,Pulau Pinang,Seberang Perai Utara,Pasar Basah 
2025-01-20,4172,114,13.0,2025,1,13.0,13.0,0,0.0,0.0,TOMATO,Sarawak,Sebauh,Kedai Runcit
2025-01-20,17855,129,3.25,2025,1,3.25,3.25,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Kalabakan,Pasar Mini
2025-01-20,20945,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Johor,Muar,Pasar Mini
2025-01-20,17572,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Pulau Pinang,Timur Laut,Kedai Runcit
2025-01-20,17020,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Perak,Manjung,Kedai Runcit
2025-01-20,17786,1476,12.0,2025,1,12.0,12.0,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Kelantan,Pasir Puteh,Pasar Basah 
2025-01-20,1612,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kelantan,Machang,Kedai Runcit
2025-01-20,17724,129,5.0,2025,1,5.0,4.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,W.P. Kuala Lumpur,Batu,Kedai Runcit
2025-01-20,14302,129,6.0,2025,1,6.0,4.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Kelantan,Kuala Krai,Kedai Runcit
2025-01-20,2257,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Perlis,Kangar,Kedai Runcit
2025-01-20,18473,1131,5.0,2025,1,5.0,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Selangor,Sepang,Pasar Mini
2025-01-20,17720,114,9.99,2025,1,7.99,8.99,0,2.0,25.03128911138924,TOMATO,W.P. Kuala Lumpur,Segambut,Pasar Mini
